shift_a,shift_b,shift_c,fgw_distance,single_point_energy
0.250,0.083,-3.100,0.243761943094,-1119.019165039062
0.250,0.125,-3.100,0.244636156573,-1118.894531250000
0.250,0.167,-3.100,0.245214698681,-1118.842895507812
0.250,0.208,-3.100,0.244486389183,-1118.924804687500
0.250,0.250,-3.100,0.243551846661,-1119.053710937500
0.250,0.292,-3.100,0.243569138799,-1119.079345703125
0.250,0.333,-3.100,0.242840288065,-1119.033569335938
0.250,0.375,-3.100,0.242784940295,-1118.998413085938
0.250,0.417,-3.100,0.243250463664,-1119.021606445312
0.250,0.458,-3.100,0.243005030381,-1119.067871093750
0.250,0.500,-3.100,0.243551846661,-1119.053710937500
0.250,0.542,-3.100,0.243244214787,-1119.050537109375
0.250,0.583,-3.100,0.242362727388,-1119.068725585938
0.250,0.625,-3.100,0.242347812244,-1119.073120117188
0.250,0.667,-3.100,0.242327987162,-1119.035400390625
0.250,0.708,-3.100,0.243891219525,-1118.937622070312
0.250,0.750,-3.100,0.244533558922,-1118.916137695312
0.250,0.792,-3.100,0.242836298334,-1119.014038085938
0.250,0.833,-3.100,0.242362727388,-1119.068725585938
0.250,0.875,-3.100,0.243419905119,-1118.987792968750
0.250,0.917,-3.100,0.245214698681,-1118.842895507812
0.250,0.958,-3.100,0.245828472522,-1118.804809570312
0.292,0.000,-3.100,0.242374412941,-1119.041137695312
0.292,0.042,-3.100,0.242701071658,-1119.055664062500
0.292,0.083,-3.100,0.244157516681,-1118.929321289062
0.292,0.125,-3.100,0.245828472522,-1118.804809570312
0.292,0.167,-3.100,0.245357718834,-1118.833007812500
0.292,0.208,-3.100,0.243072258484,-1118.988525390625
0.292,0.250,-3.100,0.243005030381,-1119.067871093750
0.292,0.292,-3.100,0.244035315389,-1118.982910156250
0.292,0.333,-3.100,0.244620399364,-1118.880859375000
0.292,0.375,-3.100,0.244920000548,-1118.871582031250
0.292,0.417,-3.100,0.244035315389,-1118.982910156250
0.292,0.458,-3.100,0.243569138799,-1119.078247070312
0.292,0.500,-3.100,0.243376564250,-1119.070678710938
0.292,0.542,-3.100,0.242480551308,-1119.033081054688
0.292,0.583,-3.100,0.242836298334,-1119.014160156250
0.292,0.625,-3.100,0.242958798718,-1119.051513671875
0.292,0.667,-3.100,0.242998838846,-1119.063232421875
0.292,0.708,-3.100,0.243732853192,-1119.033203125000
0.292,0.750,-3.100,0.242958798718,-1119.051513671875
0.292,0.792,-3.100,0.242347812244,-1119.073120117188
0.292,0.833,-3.100,0.242291890858,-1119.064819335938
0.292,0.875,-3.100,0.242841489373,-1118.991210937500
0.292,0.917,-3.100,0.244636156573,-1118.894531250000
0.292,0.958,-3.100,0.244157516681,-1118.929321289062
0.333,0.000,-3.100,0.242346565527,-1119.075927734375
0.333,0.042,-3.100,0.242374412941,-1119.041137695312
0.333,0.083,-3.100,0.243694401544,-1118.935302734375
0.333,0.125,-3.100,0.245028344543,-1118.869995117188
0.333,0.167,-3.100,0.243489226038,-1118.960205078125
0.333,0.208,-3.100,0.242224288673,-1119.061279296875
0.333,0.250,-3.100,0.243250463664,-1119.021606445312
0.333,0.292,-3.100,0.244920000548,-1118.871582031250
0.333,0.333,-3.100,0.246044439286,-1118.791015625000
0.333,0.375,-3.100,0.244620399364,-1118.880737304688
0.333,0.417,-3.100,0.242840288065,-1119.033569335938
0.333,0.458,-3.100,0.243478760243,-1119.055908203125
0.333,0.500,-3.100,0.244046964067,-1118.953735351562
0.333,0.542,-3.100,0.244509626150,-1118.882934570312
0.333,0.583,-3.100,0.244533558922,-1118.916015625000
0.333,0.625,-3.100,0.243732853192,-1119.033325195312
0.333,0.667,-3.100,0.243600108882,-1119.086547851562
0.333,0.708,-3.100,0.242998838846,-1119.063232421875
0.333,0.750,-3.100,0.242327987162,-1119.035400390625
0.333,0.792,-3.100,0.242845410581,-1119.034790039062
0.333,0.833,-3.100,0.242664708534,-1119.066650390625
0.333,0.875,-3.100,0.243262320321,-1119.040649414062
0.333,0.917,-3.100,0.243761943094,-1119.019165039062
0.333,0.958,-3.100,0.242701071658,-1119.055664062500
0.375,0.000,-3.100,0.242701071658,-1119.055664062500
0.375,0.042,-3.100,0.242576597280,-1119.060791015625
0.375,0.083,-3.100,0.243681139015,-1119.009765625000
0.375,0.125,-3.100,0.243583504977,-1119.015747070312
0.375,0.167,-3.100,0.242492799454,-1119.063354492188
0.375,0.208,-3.100,0.242361519337,-1119.070556640625
0.375,0.250,-3.100,0.242784940295,-1118.999145507812
0.375,0.292,-3.100,0.244620399364,-1118.880859375000
0.375,0.333,-3.100,0.244920000548,-1118.871582031250
0.375,0.375,-3.100,0.242784940295,-1118.999145507812
0.375,0.417,-3.100,0.242445814259,-1119.066772460938
0.375,0.458,-3.100,0.243903390282,-1118.971313476562
0.375,0.500,-3.100,0.245526588514,-1118.827392578125
0.375,0.542,-3.100,0.245840692683,-1118.804565429688
0.375,0.583,-3.100,0.243891219525,-1118.937622070312
0.375,0.625,-3.100,0.242998838846,-1119.063232421875
0.375,0.667,-3.100,0.243732853192,-1119.033203125000
0.375,0.708,-3.100,0.243891219525,-1118.937622070312
0.375,0.750,-3.100,0.244354127029,-1118.898925781250
0.375,0.792,-3.100,0.244130005567,-1118.969116210938
0.375,0.833,-3.100,0.243579312017,-1119.067382812500
0.375,0.875,-3.100,0.243542660896,-1119.080810546875
0.375,0.917,-3.100,0.242576597280,-1119.060791015625
0.375,0.958,-3.100,0.242374412941,-1119.041137695312
0.417,0.000,-3.100,0.243761943094,-1119.019165039062
0.417,0.042,-3.100,0.243542660896,-1119.080810546875
0.417,0.083,-3.100,0.243338626445,-1119.072143554688
0.417,0.125,-3.100,0.242293038416,-1119.060546875000
0.417,0.167,-3.100,0.242480396450,-1119.051391601562
0.417,0.208,-3.100,0.242445814259,-1119.066772460938
0.417,0.250,-3.100,0.242840288065,-1119.033691406250
0.417,0.292,-3.100,0.244035315389,-1118.982910156250
0.417,0.333,-3.100,0.243250463664,-1119.021728515625
0.417,0.375,-3.100,0.242361519337,-1119.070556640625
0.417,0.417,-3.100,0.242480396450,-1119.051269531250
0.417,0.458,-3.100,0.243555686719,-1118.942993164062
0.417,0.500,-3.100,0.245307745049,-1118.841308593750
0.417,0.542,-3.100,0.244354127029,-1118.898925781250
0.417,0.583,-3.100,0.242327987162,-1119.035400390625
0.417,0.625,-3.100,0.242958798718,-1119.051513671875
0.417,0.667,-3.100,0.244533558922,-1118.916015625000
0.417,0.708,-3.100,0.245840692683,-1118.804443359375
0.417,0.750,-3.100,0.245307745049,-1118.841308593750
0.417,0.792,-3.100,0.243406218364,-1118.994018554688
0.417,0.833,-3.100,0.243338626445,-1119.072143554688
0.417,0.875,-3.100,0.243681139015,-1119.009765625000
0.417,0.917,-3.100,0.243694401544,-1118.935302734375
0.417,0.958,-3.100,0.244157516681,-1118.929321289062
0.458,0.000,-3.100,0.243262320321,-1119.040649414062
0.458,0.042,-3.100,0.243579312017,-1119.067382812500
0.458,0.083,-3.100,0.243406218364,-1118.993286132812
0.458,0.125,-3.100,0.243555686719,-1118.942993164062
0.458,0.167,-3.100,0.243903390282,-1118.971191406250
0.458,0.208,-3.100,0.243478760243,-1119.055908203125
0.458,0.250,-3.100,0.243569138799,-1119.078247070312
0.458,0.292,-3.100,0.243005030381,-1119.067871093750
0.458,0.333,-3.100,0.242224288673,-1119.061279296875
0.458,0.375,-3.100,0.242492799454,-1119.063354492188
0.458,0.417,-3.100,0.242293038416,-1119.060546875000
0.458,0.458,-3.100,0.243406218364,-1118.994018554688
0.458,0.500,-3.100,0.244130005567,-1118.968994140625
0.458,0.542,-3.100,0.242845410581,-1119.034912109375
0.458,0.583,-3.100,0.242347812244,-1119.073120117188
0.458,0.625,-3.100,0.242836298334,-1119.014038085938
0.458,0.667,-3.100,0.244509626150,-1118.882934570312
0.458,0.708,-3.100,0.245526588514,-1118.827392578125
0.458,0.750,-3.100,0.243555686719,-1118.942993164062
0.458,0.792,-3.100,0.242293038416,-1119.060546875000
0.458,0.833,-3.100,0.243583504977,-1119.015747070312
0.458,0.875,-3.100,0.245028344543,-1118.869995117188
0.458,0.917,-3.100,0.245828472522,-1118.804809570312
0.458,0.958,-3.100,0.244636156573,-1118.894531250000
0.500,0.000,-3.100,0.242664708534,-1119.066650390625
0.500,0.042,-3.100,0.244130005567,-1118.969116210938
0.500,0.083,-3.100,0.245307745049,-1118.841308593750
0.500,0.125,-3.100,0.245526588514,-1118.827392578125
0.500,0.167,-3.100,0.244046964067,-1118.953735351562
0.500,0.208,-3.100,0.243376564250,-1119.070556640625
0.500,0.250,-3.100,0.243551846661,-1119.053710937500
0.500,0.292,-3.100,0.243072258484,-1118.988525390625
0.500,0.333,-3.100,0.243489226038,-1118.960205078125
0.500,0.375,-3.100,0.243583504977,-1119.015747070312
0.500,0.417,-3.100,0.243338626445,-1119.073242187500
0.500,0.458,-3.100,0.243579312017,-1119.067504882812
0.500,0.500,-3.100,0.242664708534,-1119.066650390625
0.500,0.542,-3.100,0.242291890858,-1119.064819335938
0.500,0.583,-3.100,0.242362727388,-1119.068725585938
0.500,0.625,-3.100,0.242480551308,-1119.033081054688
0.500,0.667,-3.100,0.244046964067,-1118.953735351562
0.500,0.708,-3.100,0.243903390282,-1118.971191406250
0.500,0.750,-3.100,0.242480396450,-1119.051391601562
0.500,0.792,-3.100,0.242492799454,-1119.063354492188
0.500,0.833,-3.100,0.243489226038,-1118.960205078125
0.500,0.875,-3.100,0.245357718834,-1118.833007812500
0.500,0.917,-3.100,0.245214698681,-1118.842773437500
