shift_a,shift_b,shift_c,fgw_distance,single_point_energy
0.609,0.217,-1.400,0.221123836733,-488.148498535156
0.609,0.261,-1.400,0.221063816537,-488.146942138672
0.609,0.304,-1.400,0.220731947559,-488.146423339844
0.609,0.348,-1.400,0.220985952877,-488.147460937500
0.609,0.391,-1.400,0.221079659075,-488.148254394531
0.609,0.435,-1.400,0.221141917493,-488.147033691406
0.609,0.478,-1.400,0.220972038367,-488.147460937500
0.609,0.522,-1.400,0.221434136030,-488.148681640625
0.609,0.565,-1.400,0.221509386201,-488.149078369141
0.609,0.609,-1.400,0.221079659075,-488.148254394531
0.609,0.652,-1.400,0.221104011217,-488.147766113281
0.609,0.696,-1.400,0.221342595568,-488.148345947266
0.609,0.739,-1.400,0.221158524522,-488.147979736328
0.609,0.783,-1.400,0.220769306820,-488.146545410156
0.609,0.826,-1.400,0.220793257785,-488.146667480469
0.609,0.870,-1.400,0.221028128967,-488.148254394531
0.609,0.913,-1.400,0.221180815754,-488.147583007812
0.609,0.957,-1.400,0.220950075780,-488.147186279297
0.652,0.000,-1.400,0.221055285357,-488.147491455078
0.652,0.043,-1.400,0.221140930177,-488.148406982422
0.652,0.087,-1.400,0.221198800672,-488.147277832031
0.652,0.130,-1.400,0.221010408317,-488.147766113281
0.652,0.174,-1.400,0.221444665119,-488.148864746094
0.652,0.217,-1.400,0.221519764425,-488.149078369141
0.652,0.261,-1.400,0.221093739286,-488.148071289062
0.652,0.304,-1.400,0.221129214358,-488.147521972656
0.652,0.348,-1.400,0.221265477844,-488.148284912109
0.652,0.391,-1.400,0.221104011217,-488.147766113281
0.652,0.435,-1.400,0.220749001878,-488.146484375000
0.652,0.478,-1.400,0.220838732417,-488.146697998047
0.652,0.522,-1.400,0.221041111475,-488.148376464844
0.652,0.565,-1.400,0.221287142387,-488.147674560547
0.652,0.609,-1.400,0.220985952877,-488.147460937500
0.652,0.652,-1.400,0.221265477844,-488.148315429688
0.652,0.696,-1.400,0.221628862248,-488.149383544922
0.652,0.739,-1.400,0.221298878772,-488.148529052734
0.652,0.783,-1.400,0.220974150346,-488.147705078125
0.652,0.826,-1.400,0.221319464799,-488.147705078125
0.652,0.870,-1.400,0.221068459417,-488.148406982422
0.652,0.913,-1.400,0.220978856852,-488.146911621094
0.652,0.957,-1.400,0.220728552620,-488.146453857422
0.696,0.000,-1.400,0.221176577867,-488.148071289062
0.696,0.043,-1.400,0.221052349992,-488.147766113281
0.696,0.087,-1.400,0.220736710478,-488.146453857422
0.696,0.130,-1.400,0.220903750676,-488.146728515625
0.696,0.174,-1.400,0.221069676079,-488.148345947266
0.696,0.217,-1.400,0.221353171627,-488.147857666016
0.696,0.261,-1.400,0.221005855802,-488.147766113281
0.696,0.304,-1.400,0.221217628209,-488.148406982422
0.696,0.348,-1.400,0.221628862248,-488.149291992188
0.696,0.391,-1.400,0.221342595568,-488.148345947266
0.696,0.435,-1.400,0.220937068709,-488.147399902344
0.696,0.478,-1.400,0.221257790752,-488.147430419922
0.696,0.522,-1.400,0.221038681699,-488.148376464844
0.696,0.565,-1.400,0.220898153672,-488.146911621094
0.696,0.609,-1.400,0.220731947559,-488.146545410156
0.696,0.652,-1.400,0.221129214358,-488.147521972656
0.696,0.696,-1.400,0.221217628209,-488.148406982422
0.696,0.739,-1.400,0.221199784487,-488.147583007812
0.696,0.783,-1.400,0.221033761961,-488.148040771484
0.696,0.826,-1.400,0.221432408026,-488.149047851562
0.696,0.870,-1.400,0.221505207392,-488.149047851562
0.696,0.913,-1.400,0.221089022649,-488.147796630859
0.696,0.957,-1.400,0.221119126742,-488.147155761719
0.739,0.000,-1.400,0.221589264666,-488.149230957031
0.739,0.043,-1.400,0.221361980613,-488.148101806641
0.739,0.087,-1.400,0.220891165706,-488.147155761719
0.739,0.130,-1.400,0.221148144329,-488.147369384766
0.739,0.174,-1.400,0.221028394102,-488.148376464844
0.739,0.217,-1.400,0.220840611858,-488.146881103516
0.739,0.261,-1.400,0.220740220984,-488.146484375000
0.739,0.304,-1.400,0.221199784487,-488.147583007812
0.739,0.348,-1.400,0.221298878772,-488.148529052734
0.739,0.391,-1.400,0.221158524522,-488.147888183594
0.739,0.435,-1.400,0.221040691476,-488.148223876953
0.739,0.478,-1.400,0.221409746018,-488.148956298828
0.739,0.522,-1.400,0.221460668422,-488.148895263672
0.739,0.565,-1.400,0.221064191789,-488.147521972656
0.739,0.609,-1.400,0.221063816537,-488.146942138672
0.739,0.652,-1.400,0.221093739286,-488.148010253906
0.739,0.696,-1.400,0.221005855802,-488.147766113281
0.739,0.739,-1.400,0.220740220984,-488.146484375000
0.739,0.783,-1.400,0.220973445327,-488.146820068359
0.739,0.826,-1.400,0.221120972880,-488.148406982422
0.739,0.870,-1.400,0.221367845180,-488.148071289062
0.739,0.913,-1.400,0.221015822959,-488.148040771484
0.739,0.957,-1.400,0.221162703186,-488.148498535156
0.783,0.000,-1.400,0.221375791492,-488.148651123047
0.783,0.043,-1.400,0.221105071894,-488.148132324219
0.783,0.087,-1.400,0.221035780636,-488.148376464844
0.783,0.130,-1.400,0.221392948137,-488.148864746094
0.783,0.174,-1.400,0.221391176476,-488.148712158203
0.783,0.217,-1.400,0.221023789406,-488.147216796875
0.783,0.261,-1.400,0.220973445327,-488.146820068359
0.783,0.304,-1.400,0.221033761961,-488.148040771484
0.783,0.348,-1.400,0.220974150346,-488.147735595703
0.783,0.391,-1.400,0.220769306820,-488.146545410156
0.783,0.435,-1.400,0.221039943681,-488.146911621094
0.783,0.478,-1.400,0.221196598680,-488.148895263672
0.783,0.522,-1.400,0.221343677211,-488.148284912109
0.783,0.565,-1.400,0.221022398621,-488.148254394531
0.783,0.609,-1.400,0.221123836733,-488.148498535156
0.783,0.652,-1.400,0.221519764425,-488.149108886719
0.783,0.696,-1.400,0.221353171627,-488.147857666016
0.783,0.739,-1.400,0.220840611858,-488.146881103516
0.783,0.783,-1.400,0.221023789406,-488.147277832031
0.783,0.826,-1.400,0.221027932984,-488.148376464844
0.783,0.870,-1.400,0.220828288058,-488.146911621094
0.783,0.913,-1.400,0.220756932397,-488.146575927734
0.783,0.957,-1.400,0.221264546894,-488.147674560547
0.826,0.000,-1.400,0.220971844587,-488.147857666016
0.826,0.043,-1.400,0.220827120185,-488.146606445312
0.826,0.087,-1.400,0.221099392645,-488.147033691406
0.826,0.130,-1.400,0.221291194594,-488.149047851562
0.826,0.174,-1.400,0.221308842935,-488.148590087891
0.826,0.217,-1.400,0.221027932984,-488.148376464844
0.826,0.261,-1.400,0.221120972880,-488.148406982422
0.826,0.304,-1.400,0.221432408026,-488.148956298828
0.826,0.348,-1.400,0.221319464799,-488.147613525391
0.826,0.391,-1.400,0.220793257785,-488.146789550781
0.826,0.435,-1.400,0.220924363268,-488.147186279297
0.826,0.478,-1.400,0.221029028207,-488.148406982422
0.826,0.522,-1.400,0.220875130426,-488.146911621094
0.826,0.565,-1.400,0.220786291167,-488.146697998047
0.826,0.609,-1.400,0.221321948965,-488.147857666016
0.826,0.652,-1.400,0.221444665119,-488.148864746094
0.826,0.696,-1.400,0.221069676079,-488.148315429688
0.826,0.739,-1.400,0.221028394102,-488.148376464844
0.826,0.783,-1.400,0.221391176476,-488.148712158203
0.826,0.826,-1.400,0.221308842935,-488.148529052734
0.826,0.870,-1.400,0.220975042099,-488.146942138672
0.826,0.913,-1.400,0.220874334890,-488.146697998047
0.826,0.957,-1.400,0.221004179907,-488.148040771484
0.870,0.000,-1.400,0.221266589762,-488.147430419922
0.870,0.043,-1.400,0.220757343894,-488.146667480469
0.870,0.087,-1.400,0.220878068998,-488.147186279297
0.870,0.130,-1.400,0.221029810209,-488.148376464844
0.870,0.174,-1.400,0.220975042099,-488.146942138672
0.870,0.217,-1.400,0.220828288058,-488.146911621094
0.870,0.261,-1.400,0.221367845180,-488.148071289062
0.870,0.304,-1.400,0.221505207392,-488.149047851562
0.870,0.348,-1.400,0.221068459417,-488.148406982422
0.870,0.391,-1.400,0.221028128967,-488.148193359375
0.870,0.435,-1.400,0.221398340417,-488.148559570312
0.870,0.478,-1.400,0.221227537699,-488.148376464844
0.870,0.522,-1.400,0.220924128702,-488.146789550781
0.870,0.565,-1.400,0.220796087170,-488.146606445312
0.870,0.609,-1.400,0.221001516859,-488.148132324219
0.870,0.652,-1.400,0.221010408317,-488.147766113281
0.870,0.696,-1.400,0.220903750676,-488.146697998047
0.870,0.739,-1.400,0.221148144329,-488.147277832031
0.870,0.783,-1.400,0.221392948137,-488.148864746094
0.870,0.826,-1.400,0.221291194594,-488.148651123047
0.870,0.870,-1.400,0.221029810209,-488.148376464844
0.870,0.913,-1.400,0.221158101570,-488.148284912109
0.870,0.957,-1.400,0.221337973378,-488.148742675781
0.913,0.000,-1.400,0.221098071447,-488.148437500000
0.913,0.043,-1.400,0.221038387618,-488.148040771484
0.913,0.087,-1.400,0.221395336080,-488.148406982422
0.913,0.130,-1.400,0.221158101570,-488.148284912109
0.913,0.174,-1.400,0.220874334890,-488.146667480469
0.913,0.217,-1.400,0.220756932397,-488.146606445312
0.913,0.261,-1.400,0.221015822959,-488.148040771484
0.913,0.304,-1.400,0.221089022649,-488.147766113281
0.913,0.348,-1.400,0.220978856852,-488.146911621094
0.913,0.391,-1.400,0.221180815754,-488.147583007812
0.913,0.435,-1.400,0.221486162065,-488.149047851562
0.913,0.478,-1.400,0.221303341435,-488.148834228516
