shift_a,shift_b,shift_c,fgw_distance,single_point_energy
0.083,0.708,-2.700,0.274238774372,-967.136779785156
0.083,0.750,-2.700,0.277464570486,-967.094116210938
0.083,0.792,-2.700,0.274238774372,-967.136779785156
0.083,0.833,-2.700,0.274146944561,-967.130615234375
0.083,0.875,-2.700,0.274304969576,-967.123107910156
0.083,0.917,-2.700,0.272252876747,-967.162109375000
0.083,0.958,-2.700,0.274304969577,-967.123107910156
0.125,0.000,-2.700,0.272625234441,-967.153503417969
0.125,0.042,-2.700,0.273107080028,-967.142517089844
0.125,0.083,-2.700,0.274395134740,-967.123779296875
0.125,0.125,-2.700,0.273020684518,-967.152587890625
0.125,0.167,-2.700,0.276267505736,-967.103515625000
0.125,0.208,-2.700,0.275600466825,-967.116333007812
0.125,0.250,-2.700,0.274198320980,-967.137573242188
0.125,0.292,-2.700,0.275695952602,-967.107055664062
0.125,0.333,-2.700,0.272625234441,-967.153503417969
0.125,0.375,-2.700,0.273107080028,-967.142517089844
0.125,0.417,-2.700,0.274395134740,-967.123779296875
0.125,0.458,-2.700,0.273020684518,-967.152587890625
0.125,0.500,-2.700,0.276267505736,-967.103576660156
0.125,0.542,-2.700,0.275600466825,-967.116333007812
0.125,0.583,-2.700,0.274198320980,-967.137573242188
0.125,0.625,-2.700,0.275695952602,-967.107055664062
0.125,0.667,-2.700,0.272625234441,-967.153503417969
0.125,0.708,-2.700,0.273107080028,-967.142517089844
0.125,0.750,-2.700,0.274395134740,-967.123779296875
0.125,0.792,-2.700,0.273020684518,-967.152587890625
0.125,0.833,-2.700,0.276267505736,-967.103576660156
0.125,0.875,-2.700,0.275600466825,-967.116333007812
0.125,0.917,-2.700,0.274198320980,-967.137573242188
0.125,0.958,-2.700,0.275695952602,-967.107055664062
0.167,0.000,-2.700,0.274355083999,-967.140502929688
0.167,0.042,-2.700,0.276292316022,-967.104248046875
0.167,0.083,-2.700,0.274097595845,-967.129089355469
0.167,0.125,-2.700,0.272651191216,-967.154174804688
0.167,0.167,-2.700,0.274545390156,-967.120910644531
0.167,0.208,-2.700,0.272651191216,-967.154235839844
0.167,0.250,-2.700,0.274097595845,-967.129089355469
0.167,0.292,-2.700,0.276292316022,-967.104309082031
0.167,0.333,-2.700,0.274355083999,-967.140502929688
0.167,0.375,-2.700,0.276292316022,-967.104309082031
0.167,0.417,-2.700,0.274097595845,-967.129150390625
0.167,0.458,-2.700,0.272651191216,-967.154174804688
0.167,0.500,-2.700,0.274545390156,-967.120910644531
0.167,0.542,-2.700,0.272651191216,-967.154235839844
0.167,0.583,-2.700,0.274097595845,-967.129089355469
0.167,0.625,-2.700,0.276292316022,-967.104309082031
0.167,0.667,-2.700,0.274355083999,-967.140502929688
0.167,0.708,-2.700,0.276292316022,-967.104309082031
0.167,0.750,-2.700,0.274097595845,-967.129089355469
0.167,0.792,-2.700,0.272651191216,-967.154174804688
0.167,0.833,-2.700,0.274545390156,-967.120971679688
0.167,0.875,-2.700,0.272651191216,-967.154174804688
0.167,0.917,-2.700,0.274097595845,-967.129089355469
